Model,Model_Path,Variant,Dataset,Image_Type,Resolution,Loss,Optimizer,DeNoising,Attention,auc_roc_score_agg_absolute,auc_roc_score_agg_psnr,auc_roc_score_agg_squared,auc_roc_score_agg_ssim,auc_roc_score_mean_absolute,auc_roc_score_mean_psnr,auc_roc_score_mean_squared,auc_roc_score_mean_ssim,auc_roc_score_overall_absolute,auc_roc_score_overall_psnr,auc_roc_score_overall_squared,auc_roc_score_overall_ssim,eer_agg_absolute,eer_agg_psnr,eer_agg_squared,eer_agg_ssim,eer_overall_absolute,eer_overall_psnr,eer_overall_squared,eer_overall_ssim,pr_roc_score_agg_absolute,pr_roc_score_agg_psnr,pr_roc_score_agg_squared,pr_roc_score_agg_ssim,pr_roc_score_mean_absolute,pr_roc_score_mean_psnr,pr_roc_score_mean_squared,pr_roc_score_mean_ssim,pr_roc_score_overall_absolute,pr_roc_score_overall_psnr,pr_roc_score_overall_squared,pr_roc_score_overall_ssim,precision_absolute,precision_squared,precision_ssim,precision_psnr,recall_absolute,recall_squared,recall_ssim,recall_psnr,f1-score_absolute,f1-score_squared,f1-score_ssim,f1-score_psnr,support_absolute,support_squared,support_ssim,support_psnr,conf_mat_absolute,conf_mat_squared,conf_mat_ssim,conf_mat_psnr
BICRNN_AE_128_3X3_L-4_RL-2_DISDECONV-Y,_ENTRANCE_NORMAL.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,False,0.7759,0.7588,0.7636,0.7639,0.7759,0.7588,0.7636,0.7639,0.7759,0.7588,0.7636,0.7639,0.31,0.3256,0.3168,0.3245,0.31,0.3256,0.3168,0.3245,0.016,0.0162,0.0161,0.0161,0.016,0.0162,0.0161,0.0161,0.016,0.0162,0.0161,0.0161,0.961,0.9667,0.9611,0.967,0.8519,0.5846,0.8446,0.5636,0.8983,0.713,0.8939,0.6956,21344,21344,21344,21344,"310,270,2890,17874","486,94,8772,11992","317,263,3053,17711","494,86,9229,11535"
C2D_AE_128_3X3,ANCE_NORMAL-{R1}.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,False,0.7918,0.7624,0.7624,0.7694,0.7918,0.7624,0.7624,0.7694,0.7918,0.7624,0.7624,0.7694,0.2793,0.3103,0.3103,0.3103,0.2793,0.3103,0.3103,0.3103,0.0157,0.0161,0.0161,0.016,0.0157,0.0161,0.0161,0.016,0.0157,0.0161,0.0161,0.016,0.9645,0.9652,0.9623,0.9652,0.7168,0.595,0.7059,0.595,0.8119,0.7215,0.8044,0.7215,21344,21344,21344,21344,"423,157,5888,14876","465,115,8529,12235","394,186,6091,14673","465,115,8529,12235"
C2D_AE_128_3X3,ANCE_NORMAL-{R1}.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,True,0.7859,0.7576,0.7576,0.7679,0.7859,0.7576,0.7576,0.7679,0.7859,0.7576,0.7576,0.7679,0.2896,0.3171,0.317,0.3172,0.2896,0.3171,0.317,0.3172,0.0158,0.0162,0.0162,0.016,0.0158,0.0162,0.0162,0.016,0.0158,0.0162,0.0162,0.016,0.9643,0.9659,0.9613,0.9659,0.6923,0.5795,0.8495,0.5795,0.7948,0.7089,0.8969,0.7089,21344,21344,21344,21344,"427,153,6415,14349","477,103,8872,11892","317,263,2949,17815","477,103,8872,11892"
C2D_AE_128_3X3,ANCE_NORMAL-{R1}.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,True,0.787,0.7565,0.7565,0.7723,0.787,0.7565,0.7565,0.7723,0.787,0.7565,0.7565,0.7723,0.283,0.3184,0.3184,0.3095,0.283,0.3184,0.3184,0.3095,0.0158,0.0162,0.0162,0.016,0.0158,0.0162,0.0162,0.016,0.0158,0.0162,0.0162,0.016,0.9644,0.9659,0.9611,0.9659,0.7092,0.5682,0.8547,0.5682,0.8066,0.6996,0.8999,0.6996,21344,21344,21344,21344,"424,156,6051,14713","480,100,9116,11648","310,270,2832,17932","480,100,9116,11648"
C2D_AE_128_3X3,ANCE_NORMAL-{R1}.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,True,0.7867,0.7646,0.7646,0.7714,0.7867,0.7646,0.7646,0.7714,0.7867,0.7646,0.7646,0.7714,0.2879,0.3121,0.3121,0.3117,0.2879,0.3121,0.3121,0.3117,0.0158,0.0161,0.0161,0.016,0.0158,0.0161,0.0161,0.016,0.0158,0.0161,0.0161,0.016,0.9647,0.9651,0.9616,0.9651,0.6783,0.6279,0.7643,0.6279,0.7847,0.7472,0.8438,0.7472,21344,21344,21344,21344,"438,142,6725,14039","456,124,7819,12945","362,218,4812,15952","456,124,7819,12945"
C2D_AE_128_3X3,ANCE_NORMAL-{R1}.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,True,0.791,0.7673,0.7673,0.7702,0.791,0.7673,0.7673,0.7702,0.791,0.7673,0.7673,0.7702,0.2862,0.3121,0.3113,0.3109,0.2862,0.3121,0.3113,0.3109,0.0157,0.016,0.016,0.016,0.0157,0.016,0.016,0.016,0.0157,0.016,0.016,0.016,0.9667,0.9655,0.9616,0.9655,0.6152,0.6195,0.7539,0.6195,0.7373,0.7408,0.8369,0.7408,21344,21344,21344,21344,"480,100,8113,12651","463,117,8004,12760","366,214,5039,15725","463,117,8004,12760"
C2D_AE_128_3X3,ANCE_NORMAL-{R1}.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,True,0.7941,0.7701,0.7701,0.7788,0.7941,0.7701,0.7701,0.7788,0.7941,0.7701,0.7701,0.7788,0.2799,0.3084,0.3075,0.299,0.2799,0.3084,0.3075,0.299,0.0157,0.016,0.016,0.0158,0.0157,0.016,0.016,0.0158,0.0157,0.016,0.016,0.0158,0.9642,0.9653,0.963,0.9653,0.7293,0.6406,0.7089,0.6406,0.8204,0.7569,0.8065,0.7569,21344,21344,21344,21344,"415,165,5613,15151","456,124,7548,13216","403,177,6036,14728","456,124,7548,13216"
C2D_AE_128_3X3,AL-{SoftMax_Run}.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,False,0.7847,0.7099,0.7149,0.7536,0.7847,0.7099,0.7149,0.7536,0.7847,0.7099,0.7149,0.7536,0.3,0.3293,0.3241,0.328,0.3,0.3293,0.3241,0.328,0.0158,0.0174,0.0173,0.0163,0.0158,0.0174,0.0173,0.0163,0.0158,0.0174,0.0173,0.0163,0.9661,0.9617,0.9605,0.9614,0.6209,0.7741,0.8067,0.773,0.7418,0.8501,0.8707,0.8493,21344,21344,21344,21344,"471,109,7982,12782","359,221,4600,16164","326,254,3871,16893","355,225,4621,16143"
C2D_AE_128_3X3,AL-{SoftMax_Run}.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,True,0.7918,0.7364,0.7402,0.7583,0.7918,0.7364,0.7402,0.7583,0.7918,0.7364,0.7402,0.7583,0.2966,0.3243,0.3226,0.3452,0.2966,0.3243,0.3226,0.3452,0.0157,0.0166,0.0166,0.0162,0.0157,0.0166,0.0166,0.0162,0.0157,0.0166,0.0166,0.0162,0.967,0.9627,0.9605,0.9623,0.6137,0.6666,0.8315,0.6692,0.7361,0.7764,0.8859,0.7783,21344,21344,21344,21344,"484,96,8149,12615","412,168,6948,13816","314,266,3331,17433","406,174,6887,13877"
C2D_AE_128_3X3,AL-{SoftMax_Run}.pkl,Normal,SUBWAY_ENTRANCE,NORMAL,128,MSE,ADAM,False,True,0.7955,0.8049,0.81,0.7835,0.7955,0.8049,0.81,0.7835,0.7955,0.8049,0.81,0.7835,0.2707,0.2552,0.2498,0.2802,0.2707,0.2552,0.2498,0.2802,0.0159,0.0157,0.0157,0.0159,0.0159,0.0157,0.0157,0.0159,0.0159,0.0157,0.0157,0.0159,0.9666,0.9688,0.9656,0.9679,0.6886,0.7095,0.663,0.7114,0.792,0.8067,0.7736,0.8081,21344,21344,21344,21344,"461,119,6527,14237","488,92,6108,14656","454,126,7066,13698","475,105,6054,14710"
